RP_Component_1,RP_Component_2,RP_Component_3,RP_Component_4,RP_Component_5,RP_Component_6,RP_Component_7,RP_Component_8,RP_Component_9,RP_Component_10,RP_Component_11,RP_Component_12,RP_Component_13,RP_Component_14,RP_Component_15,RP_Component_16,RP_Component_17,RP_Component_18,RP_Component_19,RP_Component_20
3199785991.3389606,1239976758.9762151,-1052313651.2595845,237628728.34404418,-2962385864.1062555,-1290900065.8554904,2596114092.581957,-900239315.445462,3113868704.0455217,-575538240.7095561,3840325559.051932,1492686845.7765877,-3023171885.0557513,-1943205150.3175592,-430059893.70978785,-1224838891.0896432,2072600947.9538918,1123981639.7488496,4076002015.9588532,-2124410180.7685528
-505005396.55543244,-3113163587.780249,-3652760819.1874537,-320452033.2536248,-8023856264.285354,-1841932551.6140392,-1573616986.8047812,2857672760.5058727,2662023071.796441,5374459997.252655,-5701869610.116989,1442087334.1053898,-3907548785.9794445,5734235456.455919,6002444199.145491,-4533724778.946463,2414197999.843081,-6254599927.908443,-571301889.373679,-2476562852.9164944
1055591041.5543412,-1775830103.69637,1989481688.2401376,-20644436.717811197,-4516607803.110647,-332197817.8838868,944486355.1959596,-2243326259.099986,2376122647.767943,1581320255.7630057,1637882254.3728902,244022689.92007658,-2819114844.571816,64005686.44328974,-2092578875.9859984,792558288.8964068,2619119313.9341874,566603766.3227794,-1599091066.6195412,-248945783.80805257
1546730633.5914414,-1275236943.111669,-2589926066.297661,-1204589491.5097318,-7075345018.758498,-2326819316.4890795,-2046032674.9199533,-1497237547.2564223,-2420427525.7514577,5647220236.963899,-779686248.3488078,3130163698.0799146,-836432820.9218681,4499569577.410144,2519875491.730633,-1220084739.872103,3856660857.895414,-6146108162.382961,-1112651118.6332285,-1316238986.8245773
1205434555.6238759,-8355034.908422914,3397653650.155769,3782492.1600256343,-4159112622.324627,-2340711107.004567,-3327523347.244319,-2366237821.7122917,2632439885.350618,7100445316.265599,-1576817671.140888,2515106889.8076873,-505661380.2627365,2701033905.2952337,-188680531.07406783,-4623045867.01567,5783438124.785104,-2451431995.1527205,591338965.1248988,-2816049598.609897
1022690544.8104783,-411422570.95637643,-1559773604.2259066,-601085822.1390301,-3365416978.277885,-1905445295.389492,-291150487.79059345,-333719012.5246323,-1303624534.4997056,1899065948.937974,674577562.6318011,1746532121.9948745,-490610885.5501834,1143590656.8943973,952992002.3856529,27817786.034179132,2076960476.7922304,-2039757371.696704,296928715.00773746,-988462843.0610517
5558939571.886837,1340749096.1555586,2785774130.196487,1667358968.2339978,-2459384139.668369,905746502.421003,4413571746.24976,-4349969058.435314,1629159014.676126,1547522934.5151985,2340986045.904165,1161687174.0866492,-3871798414.915116,1002195001.164535,-4834854733.642167,865825816.1988194,824057591.5185297,1458972155.1304245,-377087054.7920216,-100758791.37650959
761209011.9074209,348055423.9954911,652288236.3332993,514432477.60280263,-345465786.3144979,1305732322.1581404,1014272726.744566,453533567.1225553,3961068991.1047554,-964544322.0774491,246559220.29610512,-446727542.84680766,-1942839172.4195416,-678813248.4148831,718525009.042571,-2755013585.6586733,120448266.78240469,754148431.5608264,1874201701.3959737,-778549659.0290984
-709558097.0321769,-1720892502.5356507,-1077069321.4641273,-135239738.63596985,-3814169939.4948187,-902911074.3550195,693203263.9171758,3391434480.16295,5933956955.511186,-1035966292.5764893,-222571301.78103098,-138991397.0424447,-3507759006.51693,-1150364661.998441,3568883509.539585,-3801670648.9223943,2021366547.1772952,352310296.2789266,2926759707.8706517,-2454693992.736863
-926552868.2956442,-1374872258.5852568,-502393600.9973213,-763581663.0344068,-2594586120.93753,-1012827058.861667,-512260823.2357039,2016270077.5247576,2307413812.6772265,-770028804.4137739,840467752.6151698,325729485.2015885,-937172735.4347891,-1113815530.0713263,2488972509.399775,-1923008225.3513348,2232555756.9495225,-135278522.32949954,1489429214.8207417,-1370659308.1216626
34076107.96262598,-835654105.6657172,-632569048.4772725,161945637.60942805,-1721953627.1099293,-1329308329.1341753,673314396.0850426,2210100591.509766,958686408.2805195,186626630.57733774,-1160989604.5596561,506578143.34810746,-1269931808.263142,533620385.2561423,1622585910.1717021,-1045620591.4825906,807110047.7680875,-178808926.08320504,679888114.3674481,-1212821492.339392
608603484.2991008,-1730144389.273587,2584948241.1133223,-568883865.7069997,-5067047381.6539955,699346123.765175,216688142.1531952,-2481192299.482867,5920426655.091649,224784333.15802246,3823953517.3089666,-180821374.8007168,-3347149579.2355313,-2094642228.4983535,-1152176192.8806515,-1640241693.7531796,3985891264.205444,1195534636.9388728,510743229.1936755,-870301164.1250801
0.1417095908973789,-0.5784816121467701,-0.306008724508345,0.5965093690480044,1.174790511679787,-1.8556073968476285,-0.2803665359949047,0.34264180543998696,-0.6251788162362596,1.3940051069100576,0.24641195058164406,1.843574059966,0.6248226510066898,0.7704517999232552,-0.5184784234851576,1.4039136002986323,0.8157374215083772,0.4780282521253626,1.866066789697939,0.08524968965723799
